"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2301","Пользователь может скопировать папку, сохранив оригинал","tests.api","2026-07-24","passed","2026-07-24","TestMoveCopyPositive","test_move_copy","",""
"","938","Пользователь может создать папку","tests.api","2026-07-24","passed","2026-07-24","TestFolderCrudPositive","test_folder_crud","",""
"","318","Имя ресурса сверх лимита длины не создаёт ресурс","tests.api","2026-07-24","passed","2026-07-24","TestNegativeCommonNegative","test_negative_common","",""
"","1961","Загруженный файл попадает в плоский список файлов","tests.api","2026-07-24","passed","2026-07-24","TestFilesListingPositive","test_files_listing","",""
"","516","Занятое место на Диске не может быть отрицательным","tests.api","2026-07-24","passed","2026-07-24","TestDiskInfoPositive","test_disk_info","",""
"","147","Запрос без обязательного параметра отклоняется","tests.api","2026-07-24","passed","2026-07-24","TestNegativeCommonNegative","test_negative_common","",""
"","1181","Значение null в пользовательском свойстве удаляет ключ","tests.api","2026-07-24","passed","2026-07-24","TestCustomPropertiesPositive","test_custom_properties","",""
"","6289","Загрузка файла увеличивает занятое место на Диске, удаление — освобождает","tests.api","2026-07-24","passed","2026-07-24","TestFileLifecyclePositive","test_file_lifecycle","",""
"","500","Пользователь может получить метаданные папки","tests.api","2026-07-24","passed","2026-07-24","TestFolderCrudPositive","test_folder_crud","",""
"","298","Слишком длинный путь ресурса не создаёт ресурс","tests.api","2026-07-24","passed","2026-07-24","TestNegativeCommonNegative","test_negative_common","",""
"","2938","Удалённый ресурс без permanently оказывается в корзине","tests.api","2026-07-24","passed","2026-07-24","TestTrashPositive","test_trash","",""
"","13184","Файл переживает копирование, перемещение папки и удаление в корзину с восстановлением","tests.api","2026-07-24","passed","2026-07-24","TestFileLifecyclePositive","test_file_lifecycle","",""
"","1306","Пользователь может переместить папку","tests.api","2026-07-24","passed","2026-07-24","TestMoveCopyPositive","test_move_copy","",""
"","587","Запрос метаданных несуществующей папки завершается ошибкой","tests.api","2026-07-24","passed","2026-07-24","TestFolderCrudNegative","test_folder_crud","",""
"","529","Пользовательские свойства принимаются на максимальной допустимой длине","tests.api","2026-07-24","passed","2026-07-24","TestCustomPropertiesPositive","test_custom_properties","",""
"","657","Пользователь может задать пользовательское свойство ресурса","tests.api","2026-07-24","passed","2026-07-24","TestCustomPropertiesPositive","test_custom_properties","",""
"","1756","Загруженный файл попадает в список последних загруженных","tests.api","2026-07-24","passed","2026-07-24","TestFilesListingPositive","test_files_listing","",""
"","2022","Загрузка файла с force_async завершается успешно","tests.api","2026-07-24","passed","2026-07-24","TestUploadDownloadPositive","test_upload_download","",""
"","1216","Нельзя переместить папку поверх занятого пути без overwrite","tests.api","2026-07-24","passed","2026-07-24","TestMoveCopyNegative","test_move_copy","",""
"","426","Невалидный токен авторизации отклоняется","tests.api","2026-07-24","passed","2026-07-24","TestNegativeCommonNegative","test_negative_common","",""
"","1191","Пользователь может безвозвратно удалить папку","tests.api","2026-07-24","passed","2026-07-24","TestFolderCrudPositive","test_folder_crud","",""
"","529","Нельзя создать папку поверх уже существующей","tests.api","2026-07-24","passed","2026-07-24","TestFolderCrudNegative","test_folder_crud","",""
"","832","Метаинформация о Диске отдаётся в корректном формате","tests.api","2026-07-24","passed","2026-07-24","TestDiskInfoPositive","test_disk_info","",""
"","6036","Ресурс из корзины можно восстановить на исходное место","tests.api","2026-07-24","passed","2026-07-24","TestTrashPositive","test_trash","",""
"","2941","Скачанный файл идентичен загруженному","tests.api","2026-07-24","passed","2026-07-24","TestUploadDownloadPositive","test_upload_download","",""
